220,220,220
255,250,250
253,245,245
240,240,240
250,235,235
238,223,223
205,192,192
139,131,131
255,239,239
255,235,235
255,228,228
238,213,213
205,183,183
139,125,125
255,218,218
238,203,203
231,23,102
205,175,175
139,119,119
255,222,222
255,228,228
255,248,248
178,2,159
238,232,232
205,200,200
139,136,136
129,59,39
238,238,238
205,205,205
139,139,139
255,250,250
255,245,245
238,229,229
0,142,153
205,197,197
139,134,134
240,255,255
244,238,238
193,205,205
131,139,139
245,255,255
240,255,255
240,248,248
230,230,230
255,240,240
255,228,228
255,255,255
192,14,12
31,16,254
